Sep 27 07:48:59 raspberrypi jgrivera: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 5.10.60-v7l+ #1449 SMP Wed Aug 25 15:00:44 BST 2021 armv7l GNU/Linux
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 1 @ 670889s, 313ms, 646973ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 1 @ 670889s, 313ms, 749269ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 1 @ 670889s, 314ms, 205710ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 2 @ 670889s, 333ms, 685990ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 3 @ 670889s, 353ms, 769376ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 4 @ 670889s, 373ms, 698727ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 5 @ 670889s, 393ms, 755355ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 6 @ 670889s, 413ms, 680965ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 2 @ 670889s, 413ms, 768853ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 7 @ 670889s, 433ms, 677278ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 8 @ 670889s, 453ms, 677406ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 2 @ 670889s, 464ms, 225466ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 9 @ 670889s, 473ms, 665663ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 10 @ 670889s, 493ms, 671587ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 11 @ 670889s, 513ms, 669993ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 3 @ 670889s, 513ms, 765048ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 12 @ 670889s, 533ms, 672010ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 13 @ 670889s, 553ms, 670564ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 14 @ 670889s, 573ms, 669840ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 15 @ 670889s, 593ms, 678690ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 16 @ 670889s, 613ms, 673929ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 4 @ 670889s, 613ms, 763651ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 3 @ 670889s, 614ms, 223537ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 17 @ 670889s, 633ms, 674853ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 18 @ 670889s, 653ms, 673000ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 19 @ 670889s, 673ms, 667424ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 20 @ 670889s, 693ms, 666885ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 21 @ 670889s, 713ms, 669939ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 5 @ 670889s, 713ms, 765716ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 22 @ 670889s, 733ms, 670826ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 23 @ 670889s, 753ms, 671251ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 4 @ 670889s, 764ms, 235089ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 24 @ 670889s, 773ms, 667971ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 25 @ 670889s, 793ms, 674784ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 26 @ 670889s, 813ms, 673486ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 6 @ 670889s, 813ms, 764560ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 27 @ 670889s, 833ms, 679540ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 28 @ 670889s, 853ms, 673409ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 29 @ 670889s, 873ms, 672592ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 30 @ 670889s, 893ms, 666980ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 31 @ 670889s, 913ms, 671293ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 7 @ 670889s, 913ms, 765051ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 5 @ 670889s, 914ms, 222400ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 32 @ 670889s, 933ms, 671180ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 33 @ 670889s, 953ms, 672549ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 34 @ 670889s, 973ms, 667417ns
Sep 27 07:48:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 35 @ 670889s, 993ms, 672730ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 36 @ 670890s, 13ms, 672155ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 8 @ 670890s, 13ms, 764524ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 37 @ 670890s, 33ms, 671857ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 38 @ 670890s, 53ms, 673114ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 6 @ 670890s, 64ms, 229193ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 39 @ 670890s, 73ms, 670594ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 40 @ 670890s, 93ms, 671722ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 41 @ 670890s, 113ms, 669924ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 9 @ 670890s, 113ms, 765979ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 42 @ 670890s, 133ms, 675607ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 43 @ 670890s, 153ms, 677994ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 44 @ 670890s, 173ms, 666493ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 45 @ 670890s, 193ms, 672417ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 46 @ 670890s, 213ms, 674248ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 10 @ 670890s, 213ms, 766951ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 7 @ 670890s, 214ms, 227782ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 47 @ 670890s, 233ms, 678635ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 48 @ 670890s, 253ms, 676708ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 49 @ 670890s, 273ms, 673280ns
